fold,test_start,test_end,portfolio,net_total_return,net_sharpe_0rf,net_max_drawdown
1,2020-10-22,2021-01-28,UBL_80_LOWVOL_60_20,-0.0173366348023,-1.07409006808,0.0429866412343
1,2020-10-22,2021-01-28,UBL_ONLY,-0.0299485711639,-1.733799069,0.053551048778
2,2021-01-29,2021-05-10,UBL_80_LOWVOL_60_20,0.0224634913348,1.60199653965,0.0186672930169
2,2021-01-29,2021-05-10,UBL_ONLY,0.0122096831621,0.81612692221,0.0186924946125
3,2021-05-11,2021-08-17,UBL_80_LOWVOL_60_20,0.00606321550442,0.444997102043,0.0339767132157
3,2021-05-11,2021-08-17,UBL_ONLY,0.0125848717752,0.963683950538,0.0340856826751
4,2021-08-18,2021-11-23,UBL_80_LOWVOL_60_20,-0.0166737474799,-0.95480208933,0.040461574238
4,2021-08-18,2021-11-23,UBL_ONLY,-0.0212975739691,-1.168492863,0.0423878269479
