date,split,ubl_net_return,ubl_full_turnover,ubl_transaction_cost,selected_net_return,selected_full_turnover,selected_transaction_cost
2020-04-07,train,0.0013363417823,2,0.002,0.00100830152629,2,0.002
2020-04-08,train,0.00740723656634,0.781090208744,0.000781090208744,0.00745966444702,0.796992137762,0.000796992137762
2020-04-09,train,-0.00163821935395,0.753807256579,0.000753807256579,-0.000321994562246,0.769666330932,0.000769666330932
2020-04-10,train,0.00105783114508,0.787191678687,0.000787191678687,0.00299388473935,0.813408255466,0.000813408255466
2020-04-13,train,0.00346077032274,0.74364444401,0.00074364444401,0.00274548318558,0.783153172618,0.000783153172618
2020-04-14,train,0.00229172918607,0.571718003323,0.000571718003323,0.00138491808806,0.594850395322,0.000594850395322
2020-04-15,train,0.0017503913875,0.547620659753,0.000547620659753,0.00184346848498,0.571567387746,0.000571567387746
2020-04-16,train,0.00691524857921,0.670616158879,0.000670616158878,0.00590825893426,0.679315600622,0.000679315600622
2020-04-17,train,-0.00161033828245,0.609709911471,0.000609709911471,-0.0017537029581,0.614738192972,0.000614738192972
2020-04-20,train,-0.00568099248863,0.637444875005,0.000637444875005,-0.00643179849639,0.636326271436,0.000636326271436
2020-04-21,train,0.00184186942345,0.596685151624,0.000596685151624,0.00146500519744,0.559244319815,0.000559244319815
2020-04-22,train,-0.00222288661887,0.533906428337,0.000533906428337,-0.00242964355333,0.496642923341,0.000496642923341
2020-04-23,train,0.00329649639266,0.576893335376,0.000576893335376,0.00471878224819,0.561921829718,0.000561921829718
2020-04-24,train,0.00433839670048,0.564154975154,0.000564154975154,0.00683824534112,0.57121205949,0.00057121205949
2020-04-27,train,0.00238615096632,0.600015301158,0.000600015301158,0.00344904524746,0.595463638464,0.000595463638464
2020-04-28,train,0.0055054650893,0.603945199064,0.000603945199064,0.00539398994317,0.571425390782,0.000571425390782
2020-04-29,train,0.00579066529695,0.585890052798,0.000585890052798,0.00471935150476,0.511397457741,0.000511397457741
2020-04-30,train,0.00266071760506,0.585536263292,0.000585536263292,0.000812308829021,0.551940978945,0.000551940978945
