track,split,observations,net_total_return,net_annualized_return,net_sharpe_0rf,net_max_drawdown,average_full_turnover,average_one_way_turnover,break_even_cost_bps
UBL_80_LOWVOL_60_20,all,424,0.192036043835,0.110048120304,1.64422811323,0.0429866412343,0.482153097813,0.241076548906,18.7663840275
UBL_ONLY,all,424,0.135831583199,0.0786368832001,1.14332563693,0.0546679732967,0.551650207304,0.275825103652,15.6129095047
UBL_80_LOWVOL_60_20,research_holdout,133,0.0486672370244,0.0942158720346,1.35837651655,0.040461574238,0.462067502852,0.231033751426,17.9306242732
UBL_ONLY,research_holdout,133,0.0209802804364,0.0401249471397,0.597460862991,0.0481781677746,0.532030520977,0.266015260489,13.1153381767
UBL_80_LOWVOL_60_20,train,180,0.0919463147823,0.13104999382,1.83808738137,0.0399206072417,0.488510054057,0.244255027029,20.1934931887
UBL_ONLY,train,180,0.0703116887608,0.099801672198,1.34112422014,0.0497646609222,0.558954922862,0.279477461431,16.9420180895
UBL_80_LOWVOL_60_20,validation,111,0.0409992119491,0.0955119670124,1.69201944078,0.0243189099137,0.495911043811,0.247955521906,17.4197553074
UBL_ONLY,validation,111,0.039408629656,0.0917155070486,1.53707554147,0.0265902827063,0.563312995419,0.28165649771,16.3006710001
